method,turn,n_sessions,state_latency_mean,state_latency_std,compressed_latency_mean,compressed_latency_std,state_ppl_mean,state_ppl_std,compressed_ppl_mean,compressed_ppl_std,original_size_kb_mean,original_size_kb_std,compressed_size_kb_mean,compressed_size_kb_std,ppl_delta,latency_delta,latency_speedup,compression_ratio
quant_16bit,7,161,0.6600000885407793,0.6949771700496822,1.187476594238224,1.0374202601581932,36.9113942262532,41.039001546744004,37.09211912687285,41.40622011154664,19106.0283203125,0.0,9890.6708984375,0.0,0.1807249006196514,0.5274765056974446,0.5558005031368006,1.9317221770396602
quant_16bit,8,142,0.8357389599255378,0.7893642794016148,1.3575302247174452,0.8554959532970399,41.47067799079565,49.357546285489526,41.46708927404107,48.035510160858614,19106.0283203125,0.0,9890.6708984375,0.0,-0.0035887167545780585,0.5217912647919074,0.6156319356347941,1.9317221770396602
quant_16bit,9,100,0.6362950059492141,0.643771413389356,1.1390072153741493,0.9409119974374952,42.65884939754477,47.7488516497942,42.67030390914726,47.32544518422,19106.0283203125,0.0,9890.6708984375,0.0,0.011454511602487116,0.5027122094249352,0.5586400133033391,1.9317221770396602
quant_16bit,10,130,0.7935248619267861,0.7638178806358059,1.3243612412864771,0.846857064089312,46.407470779295856,70.8461753544688,46.29358220402129,69.45074805145892,19106.0283203125,0.0,9890.6708984375,0.0,-0.11388857527456508,0.5308363793596911,0.5991755400180395,1.9317221770396602
quant_16bit,11,72,0.6284532091813162,0.7031291085097651,1.1702500847362292,0.9875423725010044,43.27570431831941,49.336556495378304,43.43899174198508,49.266928820802846,19106.0283203125,0.0,9890.6708984375,0.0,0.16328742366566473,0.541796875554913,0.5370247072641465,1.9317221770396602
quant_16bit,12,115,0.7721831520249987,0.7961452617231465,1.2928863694688872,0.8946203072615279,44.0262828372421,44.646241129585825,44.41044812979344,45.15949742912433,19106.0283203125,0.0,9890.6708984375,0.0,0.38416529255133725,0.5207032174438886,0.5972552346902756,1.9317221770396602
quant_16bit,13,46,0.7140912586600399,0.9337679920942039,1.2543836352516613,1.0974042369573318,39.52023627197952,43.47371777148403,39.93834635392684,43.93421780130807,19106.0283203125,0.0,9890.6708984375,0.0,0.4181100819473187,0.5402923765916214,0.5692766061291727,1.9317221770396602
quant_16bit,14,96,0.8482019915924562,0.9414175371007956,1.3946165187614195,1.0501635937104394,49.651586103691336,52.54080820928419,50.07474991429427,53.02555545816429,19106.0283203125,0.0,9890.6708984375,0.0,0.4231638106029365,0.5464145271689632,0.6081972930779262,1.9317221770396602
quant_16bit,15,27,0.6473655293488668,0.6920104656102459,1.347916956283842,1.4719633918953827,34.51147999198191,35.34973540377683,35.00472662068906,35.77601320042446,19106.0283203125,0.0,9890.6708984375,0.0,0.49324662870715485,0.7005514269349752,0.48027107777739514,1.9317221770396602
quant_16bit,16,78,0.8284645607300962,0.8934025003855035,1.3598391799351726,1.0245801402272292,52.91850294417319,50.207222265957185,53.42901668416687,51.05176802213022,19106.0283203125,0.0,9890.6708984375,0.0,0.5105137399936766,0.5313746192050763,0.6092371605071649,1.9317221770396602
