label,offset,n,state_ppl_mean,state_ppl_std,state_latency_mean,state_latency_std,state_size_kb_mean,state_size_kb_std
carryover_beta_0.3,11,72,59.6716665703685,67.50804305714895,0.7814784902535999,0.4579092300456832,19106.0830078125,0.0
carryover_beta_0.3,12,115,58.487082318157036,68.79243093529382,0.8683054440533338,0.4715492251254925,19106.0830078125,0.0
carryover_beta_0.3,13,46,47.79020462671433,44.944165459386674,0.8170861544937867,0.4769344597027803,19106.0830078125,0.0
carryover_beta_0.3,14,96,69.3532162050764,94.30854509750756,0.9303870224975981,0.5327174821455647,19106.0830078125,0.0
carryover_beta_0.3,15,27,40.948997135630265,36.206853102194685,0.8646157302859204,0.652941438849909,19106.0830078125,0.0
carryover_beta_0.3,16,78,83.5115018982643,147.97062525742004,0.9097958009642286,0.524219039312878,19106.0830078125,0.0
carryover_beta_0.3,17,6,16.4992532564508,19.886868616855153,1.2090766783803701,1.4753231023101057,19106.0830078125,0.0
carryover_beta_0.3,18,65,80.33572285639494,125.88217851730012,0.8789936208094542,0.48154437666329,19106.0830078125,0.0
carryover_beta_0.3,20,54,101.38320982149472,244.310383713863,0.8742938794161158,0.41054171591690747,19106.0830078125,0.0
carryover_beta_0.3,22,41,105.32653050362387,199.78846522297525,0.8581460648693326,0.5209303629687718,19106.0830078125,0.0
carryover_beta_0.3,24,30,132.07668001991112,339.8431534124257,0.9082310670986772,0.4527847307110535,19106.0830078125,0.0
carryover_beta_0.3,26,22,156.0600015902259,288.2929687183048,0.8270777214149182,0.4331583596061359,19106.0830078125,0.0
carryover_beta_0.3,28,16,250.04652701329917,423.5502408072967,0.8767416965565644,0.26516477091700874,19106.0830078125,0.0
carryover_beta_0.3,30,6,591.6461858955837,923.2576609345859,0.7155269871776303,0.30428624577646163,19106.0830078125,0.0
carryover_beta_0.5,1,160,47.23362702547894,50.95388411030921,0.6614177510607988,0.3073719983456974,19106.0830078125,0.0
carryover_beta_0.5,2,142,46.55751391825943,44.2995045940547,0.6581775865412619,0.2809520319634029,19106.0830078125,0.0
carryover_beta_0.5,3,160,44.010128990846624,37.76549666610888,0.6790970981877763,0.3544646585884684,19106.0830078125,0.0
carryover_beta_0.5,4,142,43.9204602727758,41.036478765043434,0.6745568798776244,0.2867894136083585,19106.0830078125,0.0
carryover_beta_0.5,5,160,45.934127617468086,44.427280154217286,0.6603233308589551,0.37597437166931785,19106.0830078125,0.0
carryover_beta_0.5,6,142,47.460421858030855,51.222654836674096,0.6917716558878375,0.27098336761394975,19106.0830078125,0.0
carryover_beta_0.5,7,160,54.32016081336959,57.51667350965855,0.6746628539869561,0.4072939708312268,19106.0830078125,0.0
carryover_beta_0.5,8,142,56.97583616656267,72.26059983384043,0.7302079599180167,0.29516465380130086,19106.0830078125,0.0
carryover_beta_0.5,9,100,58.96281966897905,62.19826968689423,0.6897219997644425,0.3891376653298966,19106.0830078125,0.0
carryover_beta_0.5,10,130,58.97192354902426,79.9933132709657,0.709855518833949,0.2689146129798045,19106.0830078125,0.0
carryover_beta_0.5,11,72,58.2711693872743,63.61973909441027,0.6845866381837469,0.35010581104341604,19106.0830078125,0.0
carryover_beta_0.5,12,115,57.968782556751954,67.41350942392008,0.6995599718764425,0.29273848110486894,19106.0830078125,0.0
carryover_beta_0.5,13,46,47.37910176207274,44.65448508303258,0.7555649776578598,0.3483641975709281,19106.0830078125,0.0
carryover_beta_0.5,14,96,68.7670471651288,92.19312042693574,0.7396813545977542,0.32832737673018825,19106.0830078125,0.0
carryover_beta_0.5,15,27,40.46696202704902,35.87064095751288,0.8129039504737766,0.6710217912049625,19106.0830078125,0.0
carryover_beta_0.5,16,78,82.39898022689276,143.59087441325227,0.7043884910690861,0.33451384903681425,19106.0830078125,0.0
carryover_beta_0.5,17,6,16.306834066213586,19.83776776119967,1.014428550687929,1.1416218852660045,19106.0830078125,0.0
carryover_beta_0.5,18,65,79.11634468736216,122.20818593592115,0.7169689952897338,0.2973902220105503,19106.0830078125,0.0
carryover_beta_0.5,20,54,99.84327918415474,236.89544635389828,0.7331554632875379,0.2979317406035258,19106.0830078125,0.0
carryover_beta_0.5,22,41,103.79902510575091,194.48365257441574,0.7220436614233909,0.36771904456436283,19106.0830078125,0.0
carryover_beta_0.5,24,30,129.55599871978808,329.4976420921474,0.7177492069080472,0.3156277686687425,19106.0830078125,0.0
carryover_beta_0.5,26,22,156.81919133314966,288.54690628422776,0.6528265627778389,0.25020469017809344,19106.0830078125,0.0
carryover_beta_0.5,28,16,250.1863948241652,423.68406002153915,0.6774913943372667,0.2431231238501875,19106.0830078125,0.0
carryover_beta_0.5,30,6,590.9085682486724,923.6168242765807,0.555306646352013,0.25230236970307923,19106.0830078125,0.0
carryover_beta_0.7,1,160,45.991446297590244,49.520139810559265,0.7950339843926486,0.2585075289709062,19106.0830078125,0.0
carryover_beta_0.7,2,142,45.75821337153298,42.28396640197111,0.8467398294195218,0.27556742975442805,19106.0830078125,0.0
carryover_beta_0.7,3,160,43.120467241654,36.35274958785601,0.821375249675475,0.29969260040940154,19106.0830078125,0.0
carryover_beta_0.7,4,142,43.35803359713439,40.29786992355473,0.8474267111881308,0.263491897865024,19106.0830078125,0.0
carryover_beta_0.7,5,160,45.20484063239627,43.389956583736556,0.8192856046312954,0.32482879711283125,19106.0830078125,0.0
carryover_beta_0.7,6,142,46.98668638096616,50.861597329338466,0.8568949160218554,0.26242474878078126,19106.0830078125,0.0
carryover_beta_0.7,7,160,53.6069990464315,56.26536563478028,0.8221559385128785,0.3377169808543512,19106.0830078125,0.0
carryover_beta_0.7,8,142,56.604884078498166,72.02968908176541,0.8774480164497042,0.259976782577479,19106.0830078125,0.0
carryover_beta_0.7,9,100,58.10970569707267,59.9085278777619,0.8105707258731126,0.3091982679350435,19106.0830078125,0.0
carryover_beta_0.7,10,130,58.61869005811928,78.78458736127627,0.8973839430425029,0.3800600327815556,19106.0830078125,0.0
carryover_beta_0.7,11,72,57.083113548894794,60.006708391705885,0.8262777061124021,0.3370947498724215,19106.0830078125,0.0
carryover_beta_0.7,12,115,57.43954725782367,65.95295845919942,0.862688467392455,0.27770852790510886,19106.0830078125,0.0
carryover_beta_0.7,13,46,47.243708798308155,44.39444970573968,0.8329567061939641,0.3549216104124007,19106.0830078125,0.0
carryover_beta_0.7,14,96,68.56350097884341,92.24944927169284,0.8912955596654987,0.36314891379375014,19106.0830078125,0.0
carryover_beta_0.7,15,27,40.285255890300036,35.81321168160445,0.8891509351562019,0.4796522212968986,19106.0830078125,0.0
carryover_beta_0.7,16,78,82.04696317749212,143.55477267606352,0.8886125915421125,0.35299982470512586,19106.0830078125,0.0
carryover_beta_0.7,17,6,16.279182779276272,19.854716238250735,0.9904919910865525,0.6903187439528218,19106.0830078125,0.0
carryover_beta_0.7,18,65,79.30855482122583,122.42839298025886,0.8492350781622987,0.28562782060727604,19106.0830078125,0.0
carryover_beta_0.7,20,54,99.89720969284417,237.06713447818777,0.9024509306721114,0.3142482228220652,19106.0830078125,0.0
carryover_beta_0.7,22,41,103.52624910080458,194.4401658954705,0.8884512851605328,0.37088567243821824,19106.0830078125,0.0
carryover_beta_0.7,24,30,129.2479314921773,329.51563374190096,0.8572850164957344,0.27847442741011535,19106.0830078125,0.0
carryover_beta_0.7,26,22,156.00716497270548,288.60496077012476,0.8298589442009953,0.24324022858258723,19106.0830078125,0.0
carryover_beta_0.7,28,16,249.23659632882692,423.81583318017164,0.8169486724655144,0.1745923045068447,19106.0830078125,0.0
carryover_beta_0.7,30,6,590.1392544343506,924.0011245027968,0.7214179964115223,0.16595383362307728,19106.0830078125,0.0
carryover_beta_0.9,1,160,44.555876158296584,46.89831582515429,0.7241596200328786,0.2641451571625587,19106.0830078125,0.0
carryover_beta_0.9,2,142,44.585053345347035,40.07190695868459,0.7651730375495595,0.30065368482952604,19106.0830078125,0.0
carryover_beta_0.9,3,160,42.28290946132529,35.31723099385105,0.7337470830534585,0.3456506298706431,19106.0830078125,0.0
carryover_beta_0.9,4,142,42.88573914449118,39.94181802788043,0.7831747804794618,0.2924094411273046,19106.0830078125,0.0
carryover_beta_0.9,5,160,44.54044627013984,42.67994038043058,0.7465647410601377,0.3396701850699864,19106.0830078125,0.0
carryover_beta_0.9,6,142,46.51583628697337,49.8885091327057,0.7815959044128762,0.2832011656039744,19106.0830078125,0.0
carryover_beta_0.9,7,160,52.56484248160905,54.56796423272221,0.7675907567434479,0.35960773268997914,19106.0830078125,0.0
carryover_beta_0.9,8,142,55.88711374494991,70.2251679353688,0.8265175563611196,0.3280696421069231,19106.0830078125,0.0
carryover_beta_0.9,9,100,57.06886808839208,57.869498411365456,0.724310194645077,0.3235692284160475,19106.0830078125,0.0
carryover_beta_0.9,10,130,58.338235377875414,78.1544181454974,0.796871554529151,0.2971290342887147,19106.0830078125,0.0
carryover_beta_0.9,11,72,56.11609518120997,57.56777742874733,0.7404820312383689,0.33775234843099716,19106.0830078125,0.0
carryover_beta_0.9,12,115,57.058814339259165,64.60605179269558,0.8002415645867587,0.3113157981947009,19106.0830078125,0.0
carryover_beta_0.9,13,46,47.23102014171618,44.60967500687905,0.7827030515662677,0.3688036544526182,19106.0830078125,0.0
carryover_beta_0.9,14,96,68.0612048248426,92.10660287010566,0.8292941240846025,0.3565415086411836,19106.0830078125,0.0
carryover_beta_0.9,15,27,40.49562560371055,36.64214090986263,0.8152220782789367,0.4794685048479112,19106.0830078125,0.0
carryover_beta_0.9,16,78,81.48642660995384,143.30514161450014,0.8154633454859066,0.3220551963435809,19106.0830078125,0.0
carryover_beta_0.9,17,6,16.537203182575052,20.482806550729585,0.8890768932178617,0.7222735075599954,19106.0830078125,0.0
carryover_beta_0.9,18,65,79.09728935610649,122.30967739779616,0.810072555192388,0.3288216550400132,19106.0830078125,0.0
carryover_beta_0.9,20,54,99.4659375581706,236.8128076753123,0.8300150927087223,0.31318178332228414,19106.0830078125,0.0
carryover_beta_0.9,22,41,103.30110890429533,194.47455457494675,0.786831670508879,0.38178549519412314,19106.0830078125,0.0
carryover_beta_0.9,24,30,128.4714079990043,329.375736195124,0.8093327542766928,0.36523727118829985,19106.0830078125,0.0
carryover_beta_0.9,26,22,155.34488691004015,288.41172471485515,0.8127451284195889,0.2853605822265422,19106.0830078125,0.0
carryover_beta_0.9,28,16,246.03902385874264,412.0245895334091,0.7958801693166606,0.24421635216961665,19106.0830078125,0.0
carryover_beta_0.9,30,6,576.5433730065766,894.2895156763824,0.6287998169039687,0.26845166710611995,19106.0830078125,0.0
