turn,n_sessions,baseline_ppl_mean,baseline_ppl_std,state_ppl_mean,state_ppl_std,baseline_latency_mean,baseline_latency_std,state_latency_mean,state_latency_std,txt_size_kb_mean,txt_size_kb_std,pt_size_kb_mean,pt_size_kb_std,ppl_delta,latency_delta,latency_speedup
12,115,24.267872149192065,29.320882355578334,44.01656164651011,44.67356989234197,2.1446089282145966,0.7472747274058248,0.7826614502169515,0.4980618555139121,11.008950407608696,2.277012110201967,19105.7080078125,0.0,19.748689497318047,-1.361947477997645,2.7401489208649754
13,46,19.178417016925735,18.643704833871926,39.49052379994665,43.46311219401329,1.7739880083574224,0.879604574577825,0.7717654942129941,0.5638007036191721,8.62268597146739,3.369728863997039,19105.7080078125,0.0,20.312106783020916,-1.0022225141444283,2.29861016287913
14,96,26.364155952862337,34.19631198588043,49.71978625514222,52.49468227821749,2.235793452418875,0.6894693937556338,0.8465769724668158,0.5769808841116307,11.203531901041666,2.042828141919742,19105.7080078125,0.0,23.35563030227988,-1.3892164799520592,2.640980708350786
15,27,18.460319751680775,20.41759085681295,34.328964050955825,35.06574457370522,1.8033790823279157,0.7849552480130861,0.7881723414692614,0.6180443936018575,8.880425347222221,3.0707274987447795,19105.7080078125,0.0,15.86864429927505,-1.0152067408586543,2.2880517209804263
16,78,26.283068101436186,28.223350918487363,53.06896708105931,50.34888707111989,2.27022372584981,0.6420402888091471,0.8264525429202387,0.5932382876033094,11.40732672275641,1.9458063537700074,19105.7080078125,0.0,26.785898979623127,-1.4437711829295714,2.7469498948216198
17,6,7.700434916628018,7.981749117911792,13.633239612413261,19.752856380319493,1.4758003768511117,0.2494393950813269,0.7219409757914642,0.8668187713054106,9.836588541666666,2.455588279072634,19105.7080078125,0.0,5.932804695785243,-0.7538594010596474,2.0442119596178774
18,65,24.608740939382812,25.731252441687808,53.696786590340686,53.56826356530322,2.309378581823638,0.6754861315506023,0.8359203480184079,0.5975429440634556,11.593704927884616,1.9238339777369822,19105.7080078125,0.0,29.088045650957874,-1.47345823380523,2.7626777925649715
20,54,25.93814986308877,39.08391403789014,61.27508750388898,69.47536560629227,2.3627276234328747,0.6408891711566004,0.7953932850138733,0.5808797949960822,11.657316984953704,1.9914723806398131,19105.7080078125,0.0,35.336937640800215,-1.5673343384190015,2.9705149238111357
22,41,23.632300622504765,27.75053789267728,64.98217176643136,76.72074832368301,2.3955313746885554,0.6182408325489324,0.7934763917199722,0.6474389540055078,11.601753048780488,2.0297279620983915,19105.7080078125,0.0,41.3498711439266,-1.6020549829685833,3.0190329538297953
24,30,24.873595594808883,42.53629219080416,79.1976588726514,111.1644950796058,2.5180578362507124,0.6225095638943927,0.8216006875348588,0.5210974786861654,11.753873697916667,2.0808882311391703,19105.7080078125,0.0,54.32406327784252,-1.6964571487158535,3.064819533934332
26,22,31.04939910010951,36.074454205462274,109.44348698487808,133.32791288043984,2.623201916121285,0.556039329343199,0.7709802564826201,0.4791480779009152,12.039195667613637,2.1151586762278325,19105.7080078125,0.0,78.39408788476857,-1.8522216596386647,3.4024242437658567
28,16,44.95854528799542,67.26501142073737,188.94217040973209,241.4010269368332,2.718233277264517,0.5498683445099037,0.8269942429033108,0.43633716522379584,12.03814697265625,2.3153424312926427,19105.7080078125,0.0,143.98362512173668,-1.891239034361206,3.286882950625719
30,6,81.94727240328413,91.03040523965694,409.5987414919432,528.9348198022452,2.735140035239359,0.49644186115772027,0.6806796666545173,0.381650323323282,12.684407552083334,2.699308927225473,19105.7080078125,0.0,327.65146908865904,-2.0544603685848415,4.018248479027352
